symbol	ensembl_id	symbol_id
AKAP9_missense	ENSG00000127914.19	AKAP9
ALK_missense	ENSG00000171094.18	ALK
ANK1_missense	ENSG00000029534.21	ANK1
ANKRD11_missense	ENSG00000167522.16	ANKRD11
APC_missense	ENSG00000134982.17	APC
ARID1A_frameshift	ENSG00000117713.20	ARID1A
ARID1A_nonsense	ENSG00000117713.20	ARID1A
ATM_missense	ENSG00000149311.20	ATM
ATRX_missense	ENSG00000085224.23	ATRX
ATR_missense	ENSG00000175054.16	ATR
BIRC6_missense	ENSG00000115760.14	BIRC6
BRAF_missense	ENSG00000157764.14	BRAF
BRCA2_missense	ENSG00000139618.17	BRCA2
CACNA1D_missense	ENSG00000157388.20	CACNA1D
CAMTA1_missense	ENSG00000171735.19	CAMTA1
CARD11_missense	ENSG00000198286.10	CARD11
CDH10_missense	ENSG00000040731.10	CDH10
CHD4_missense	ENSG00000111642.16	CHD4
COL6A3_missense	ENSG00000163359.17	COL6A3
COL6A6_missense	ENSG00000206384.10	COL6A6
CREBBP_missense	ENSG00000005339.15	CREBBP
CSMD3_missense	ENSG00000164796.18	CSMD3
CTNNA2_missense	ENSG00000066032.19	CTNNA2
CTNNB1_missense	ENSG00000168036.18	CTNNB1
CTNND2_missense	ENSG00000169862.19	CTNND2
DCC_missense	ENSG00000187323.12	DCC
DSP_missense	ENSG00000096696.15	DSP
EGFR_missense	ENSG00000146648.20	EGFR
EP300_missense	ENSG00000100393.14	EP300
EPHA3_missense	ENSG00000044524.11	EPHA3
ERBB4_missense	ENSG00000178568.15	ERBB4
FAM135B_missense	ENSG00000147724.12	FAM135B
FAT1_missense	ENSG00000083857.14	FAT1
FAT2_missense	ENSG00000086570.13	FAT2
FAT3_missense	ENSG00000165323.16	FAT3
FAT4_missense	ENSG00000196159.14	FAT4
FBN2_missense	ENSG00000138829.12	FBN2
FCGBP_missense	ENSG00000275395.6	FCGBP
FMN2_missense	ENSG00000155816.21	FMN2
FN1_missense	ENSG00000115414.21	FN1
GNAS_missense	ENSG00000087460.29	GNAS
GRIN2A_missense	ENSG00000183454.18	GRIN2A
HSPG2_missense	ENSG00000142798.20	HSPG2
KAT6A_missense	ENSG00000083168.11	KAT6A
KDR_missense	ENSG00000128052.10	KDR
KMT2B_missense	ENSG00000272333.7	KMT2B
KMT2C_missense	ENSG00000055609.21	KMT2C
KMT2D_frameshift	ENSG00000167548.17	KMT2D
KMT2D_missense	ENSG00000167548.17	KMT2D
KRAS_missense	ENSG00000133703.13	KRAS
LPA_missense	ENSG00000198670.12	LPA
LRP1B_missense	ENSG00000168702.18	LRP1B
MECOM_missense	ENSG00000085276.19	MECOM
MED12_missense	ENSG00000184634.16	MED12
MGA_missense	ENSG00000174197.17	MGA
MTOR_missense	ENSG00000198793.13	MTOR
MYH11_missense	ENSG00000133392.18	MYH11
MYH9_missense	ENSG00000100345.22	MYH9
NCOR1_missense	ENSG00000141027.21	NCOR1
NF1_missense	ENSG00000196712.18	NF1
NIPBL_missense	ENSG00000164190.19	NIPBL
NOTCH1_missense	ENSG00000148400.13	NOTCH1
NOTCH2_missense	ENSG00000134250.20	NOTCH2
NSD1_missense	ENSG00000165671.21	NSD1
PDE4DIP_missense	ENSG00000178104.19	PDE4DIP
PEG3_missense	ENSG00000198300.14	PEG3
PIK3CA_missense	ENSG00000121879.6	PIK3CA
POLE_missense	ENSG00000177084.18	POLE
POLQ_missense	ENSG00000051341.15	POLQ
PRDM2_missense	ENSG00000116731.22	PRDM2
PREX2_missense	ENSG00000046889.19	PREX2
PTPN13_missense	ENSG00000163629.13	PTPN13
PTPRB_missense	ENSG00000127329.16	PTPRB
PTPRC_missense	ENSG00000081237.20	PTPRC
PTPRD_missense	ENSG00000153707.18	PTPRD
PTPRT_missense	ENSG00000196090.12	PTPRT
RANBP2_missense	ENSG00000153201.16	RANBP2
RNF213_missense	ENSG00000173821.19	RNF213
ROBO2_missense	ENSG00000185008.17	ROBO2
ROS1_missense	ENSG00000047936.11	ROS1
SETBP1_missense	ENSG00000152217.20	SETBP1
SMARCA4_missense	ENSG00000127616.20	SMARCA4
SPEN_missense	ENSG00000065526.12	SPEN
TAF1L_missense	ENSG00000122728.6	TAF1L
TET1_missense	ENSG00000138336.9	TET1
TNC_missense	ENSG00000041982.16	TNC
TP53_frameshift	ENSG00000141510.18	TP53
TP53_missense	ENSG00000141510.18	TP53
TP53_nonsense	ENSG00000141510.18	TP53
TPR_missense	ENSG00000047410.14	TPR
TRRAP_missense	ENSG00000196367.14	TRRAP
UBR5_missense	ENSG00000104517.13	UBR5
ZFHX3_missense	ENSG00000140836.17	ZFHX3
ZNF208_missense	ENSG00000160321.15	ZNF208
ZNF521_missense	ENSG00000198795.11	ZNF521
